N eta mean fluc binder
400 0.2 0.91754199392 0.123442295574 -8.22319381732
400 0.58 0.383666741562 3.11383161882 -0.487839059769
400 0.96 0.0446351525073 0.211692973011 -0.0354541457098
400 0.42 0.65606799674 1.6585691921 -3.29498686652
40 0.64 0.415990892859 0.329471339271 -0.116992532112
1000 0.54 0.406138397869 9.48902998742 -0.413523300321
400 0.8 0.0663017419423 0.462295125254 -0.0527341540423
1000 0.24 0.87122814692 1.05446666989 -5.15195908277
40 0.16 0.956604377026 0.0020336755901 -0.296464271861
40 0.3 0.852167750968 0.0223113153767 -0.120316540707
100 0.02 0.999246096092 1.17485857608e-06 -1.45854126615
1000 0.72 0.094275634029 1.98340129223 0.128983183384
40 0.24 0.903999726564 0.00956145390754 -0.0811949662313
1000 0.88 0.031106651443 0.264281806292 -0.151832621769
100 0.84 0.109582018399 0.313827567424 -0.0239204732306
40 0.96 0.143108804266 0.212029142698 -0.0222347640971
400 0.52 0.493825636093 2.64591669258 -1.39980651102
100 0.86 0.102062247792 0.277242514062 -0.0531850225715
1000 0.84 0.0348467105629 0.331199269592 -0.03543818452
1000 0.86 0.0327321832173 0.293251813419 -0.0947562841766
1000 0.5 0.484956932353 8.47684770124 -0.987469978748
100 0.96 0.0891745951573 0.209457625715 -0.0270242288568
